Date,State,Type,Cases
3/22/2020,North Carolina,Recovered,
3/17/2020,North Dakota,Confirmed,1
3/17/2020,North Dakota,Deaths,0
3/17/2020,North Dakota,Recovered,0
3/18/2020,North Dakota,Confirmed,6
3/18/2020,North Dakota,Deaths,0
3/18/2020,North Dakota,Recovered,0
3/19/2020,North Dakota,Confirmed,19
3/19/2020,North Dakota,Deaths,0
3/19/2020,North Dakota,Recovered,0
3/20/2020,North Dakota,Confirmed,26
3/20/2020,North Dakota,Deaths,0
3/20/2020,North Dakota,Recovered,0
3/21/2020,North Dakota,Confirmed,26
3/21/2020,North Dakota,Deaths,0
3/21/2020,North Dakota,Recovered,0
3/22/2020,North Dakota,Confirmed,26
3/22/2020,North Dakota,Deaths,0
3/22/2020,North Dakota,Recovered,0
3/17/2020,Ohio,Confirmed,67
3/17/2020,Ohio,Deaths,0
3/17/2020,Ohio,Recovered,0
3/18/2020,Ohio,Confirmed,88
3/18/2020,Ohio,Deaths,0
3/18/2020,Ohio,Recovered,0
3/19/2020,Ohio,Confirmed,119
3/19/2020,Ohio,Deaths,0
3/19/2020,Ohio,Recovered,0
3/20/2020,Ohio,Confirmed,174
3/20/2020,Ohio,Deaths,3
3/20/2020,Ohio,Recovered,0
3/21/2020,Ohio,Confirmed,247
3/21/2020,Ohio,Deaths,3
3/21/2020,Ohio,Recovered,0
3/22/2020,Ohio,Confirmed,247
3/22/2020,Ohio,Deaths,3
3/22/2020,Ohio,Recovered,0
3/17/2020,Oklahoma,Confirmed,17
3/17/2020,Oklahoma,Deaths,0
3/17/2020,Oklahoma,Recovered,0
