Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/22/2020,Iowa,90,22,23,2.2,22.5,2.1,0,0,0,,,,,0,0,0,90,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Kansas,16,16,0,1.0,16,1.0,1,1,0,1.0,1,1.0,,0,0,0,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Kansas,16,0,16,,8,,1,0,1,,0.5,,,0,0,0,15,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Kansas,34,18,0,0.6,9,1.2,1,0,0,,0,,,0,0,0,33,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Kansas,44,10,18,2.3,14,1.7,1,0,0,,0,,,0,0,0,43,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Kansas,60,16,10,1.9,13,2.3,1,0,0,,0,,,0,0,0,59,5,5,0,0,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Kansas,60,0,16,2.6,13,3.2,1,0,0,,,,,0,0,0,59,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1
3/17/20,Kentucky,26,26,0,1.0,26,1.0,1,1,0,1.0,1,1.0,,0,0,0,25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Kentucky,35,9,26,1.9,17.5,1.9,1,0,1,,0.5,,,0,0,0,34,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Kentucky,47,12,9,2.0,10.5,2.3,2,1,0,0.7,0.5,1.4,,0,0,0,45,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Kentucky,48,1,12,31.5,6.5,4.8,2,0,1,,0.5,2.8,,0,0,0,46,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Kentucky,54,6,1,5.4,3.5,9.2,2,0,0,,0,,,0,0,0,52,5,5,0,0,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Kentucky,103,49,6,0.7,27.5,1.3,2,0,0,,,,,0,0,0,101,6,6,1,0,0,6,0,0,0,0,0,0,0,0,1
3/17/20,Louisiana,196,196,0,1.0,196,1.0,4,4,0,1.0,4,1.0,,0,0,0,192,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Louisiana,280,84,196,1.6,140,1.6,4,0,4,,2,,,0,0,0,276,2,2,2,1,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Louisiana,392,112,84,1.7,98,2.0,10,6,0,0.5,3,0.9,,0,0,0,382,3,3,3,2,0,3,1,0,0,0,0,0,0,0,1
3/20/2020,Louisiana,537,145,112,1.8,128.5,2.1,14,4,6,1.8,5,1.4,,0,0,0,523,4,4,4,3,0,4,2,0,0,0,0,0,0,0,1
3/21/2020,Louisiana,763,226,145,1.6,185.5,2.0,20,6,4,1.6,5,2.0,,0,0,0,743,5,5,5,4,0,5,3,0,0,0,0,0,0,0,1
3/22/2020,Louisiana,837,74,226,7.0,150,3.5,20,0,6,2.3,1.6,2.8,,0,0,0,817,6,6,6,5,0,6,4,0,0,0,0,0,0,0,1
3/17/20,Maine,32,32,0,1.0,32,1.0,0,0,0,1.0,0,1.0,,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Maine,32,0,32,,16,,0,0,0,,0,,,0,0,0,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Maine,53,21,0,1.1,10.5,2.1,0,0,0,,0,,,0,0,0,53,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Maine,56,3,21,12.4,12,3.1,0,0,0,,0,,,0,0,0,56,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Maine,70,14,3,2.8,8.5,4.6,0,0,0,,0,,3,0,0,0,67,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Maine,89,19,14,2.5,16.5,2.8,0,0,0,,,,3,0,0,0,86,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3/17/20,Maryland,57,57,0,1.0,57,1.0,0,0,0,1.0,0,1.0,0,0,0,0,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
